Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9778945,The Shallows: What the Internet Is Doing to Our Brains,Nicholas Carr,"Carr, Nicholas",,"=""0393339750""","=""9780393339758""",0,3.89,W. W. Norton & Company,Paperback,280,2011,2010,,2021/01/21,to-read,to-read (#48),to-read,,,,0,0
22590,Ubik,Philip K. Dick,"Dick, Philip K.",,"=""8498000831""","=""9788498000832""",0,4.11,La factoría de ideas,Paperback,288,2004,1969,,2021/01/20,to-read,to-read (#47),to-read,,,,0,0
34189798,Computer Science Distilled: Learn the Art of Solving Computational Problems,Wladston Ferreira Filho,"Filho, Wladston Ferreira",Raimondo Pictet,"=""0997316004""","=""9780997316001""",0,4.07,Code Energy LLC ,Hardcover,,2017,2017,,2021/01/19,to-read,to-read (#46),to-read,,,,0,0
4099,The Pragmatic Programmer: From Journeyman to Master,Dave         Thomas,"Thomas, Dave","Andy   Hunt, Ward Cunningham","=""020161622X""","=""9780201616224""",0,4.33,Addison-Wesley Professional,Paperback,321,1999,1999,,2021/01/19,to-read,to-read (#44),to-read,,,,0,0
49591631,Game Theory for Security and Risk Management: From Theory to Practice (Static & Dynamic Game Theory: Foundations & Applications),Stefan Rass,"Rass, Stefan",Stefan Schauer,"=""3319752685""","=""9783319752686""",0,0.0,Birkhäuser,Kindle Edition,418,2018,,,2021/01/19,to-read,to-read (#43),to-read,,,,0,0
486319,Iacocca: An Autobiography,Lee Iacocca,"Iacocca, Lee",William Novak,"=""0553251473""","=""9780553251470""",0,3.98,Bantam,Mass Market Paperback,366,1986,1984,,2021/01/01,to-read,to-read (#42),to-read,,,,0,0
1617,"Night  (The Night Trilogy, #1)",Elie Wiesel,"Wiesel, Elie","Marion Wiesel, François Mauriac","=""0374500010""","=""9780374500016""",0,4.38,Hill & Wang,Paperback,120,2006,1956,,2020/03/12,,,read,,,,1,0
12746081,A Bug Hunter's Diary: A Guided Tour Through the Wilds of Software Security,Tobias Klein,"Klein, Tobias",,"=""1593273851""","=""9781593273859""",0,3.92,No Starch Press,Paperback,200,2011,2011,,2020/12/29,to-read,to-read (#41),to-read,,,,0,0
43786254,Tribe of Hackers: Cybersecurity Advice from the Best Hackers in the World,Marcus J. Carey,"Carey, Marcus J.",Jennifer Jin,"=""1793464189""","=""9781793464187""",0,3.88,Independently published,Paperback,412,2019,2019,,2020/12/29,to-read,to-read (#40),to-read,,,,0,0
18160,The Art of Deception: Controlling the Human Element of Security,Kevin D. Mitnick,"Mitnick, Kevin D.","William   L.    Simon, Steve Wozniak","=""076454280X""","=""9780764542800""",0,3.76,Wiley,Paperback,352,2003,2001,,2020/12/29,to-read,to-read (#38),to-read,,,,0,0
38447,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""038549081X""","=""9780385490818""",0,4.14,Anchor Books,Paperback,311,1998,1985,,2020/07/03,,,read,,,,1,0
54111936,War: How Conflict Shaped Us,Margaret MacMillan,"MacMillan, Margaret",,"=""1984856146""","=""9781984856142""",0,3.57,Random House,ebook,304,2020,2020,2020/12/29,2020/12/21,,,read,,,,1,0
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",4,3.99,Alfred A. Knopf,Hardcover,241,2006,2006,2020/12/22,2020/03/12,,,read,,,,1,0
18465875,Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon,Kim Zetter,"Zetter, Kim",,"=""077043617X""","=""9780770436179""",0,4.17,Crown,Hardcover,406,2014,2014,,2020/12/21,to-read,to-read (#37),to-read,,,,0,0
1237300,The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein,"Klein, Naomi",,"=""0805079831""","=""9780805079838""",0,4.28,Metropolitan Books,Hardcover,558,2007,2007,,2020/12/15,to-read,to-read (#36),to-read,,,,0,0
296662,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,"Loewen, James W.",,"=""0684818868""","=""9780684818863""",0,3.97,"Touchstone Books/Simon & Schuster, Inc.",Paperback,383,1996,1995,,2020/12/15,to-read,to-read (#35),to-read,,,,0,0
76401,Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,"Brown, Dee",,"=""0805066691""","=""9780805066692""",0,4.25,"Henry Holt and Company, LLC",Paperback,509,2001,1970,,2020/12/15,to-read,to-read (#34),to-read,,,,0,0
34490192,Soonish: Ten Emerging Technologies That'll Improve and/or Ruin Everything,Kelly Weinersmith,"Weinersmith, Kelly",Zach Weinersmith,"=""0399563822""","=""9780399563829""",4,3.94,Penguin Press,Hardcover,368,2017,2017,2020/12/15,2020/11/23,,,read,,,,1,0
1430688,Drink: A Cultural History of Alcohol,Iain Gately,"Gately, Iain",,"=""1592403034""","=""9781592403035""",0,3.85,Gotham,Hardcover,560,2008,2008,,2020/12/10,to-read,to-read (#33),to-read,,,,0,0
51606,Johnny Got His Gun,Dalton Trumbo,"Trumbo, Dalton",Ron Kovic,"=""0806512814""","=""9780806512815""",0,4.20,Citadel,Paperback,309,1998,1939,,2020/12/01,to-read,to-read (#32),to-read,,,,0,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",0,4.44,Bantam,Mass Market Paperback,835,2005,1996,,2020/07/03,,,read,,,,1,0
39401909,The AI Delusion,Gary Smith,"Smith, Gary",,"=""0198824300""","=""9780198824305""",3,3.65,Oxford University Press,Hardcover,256,2018,,,2020/11/23,,,read,,,,1,0
17162,"The Chocolate War (Chocolate War, #1)",Robert Cormier,"Cormier, Robert",,"=""0375829873""","=""9780375829871""",2,3.49,Ember,Paperback,267,2004,1974,,2020/07/14,,,read,,,,1,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",4,4.03,Vintage International,Paperback,123,1989,1942,,2020/03/12,,,read,,,,1,0
36236124,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0393355942""","=""9780393355949""",5,4.18,W. W. Norton & Company,Paperback,224,2018,1996,2020/07/06,2020/07/03,,,read,,,,1,0
40940649,I Am Legend,Richard Matheson,"Matheson, Richard",,"=""0795315635""","=""9780795315633""",0,4.06, RosettaBooks ,Kindle Edition,162,2011,1954,,2020/07/01,,,read,,,,2,0
415459,I Have No Mouth & I Must Scream,Harlan Ellison,"Ellison, Harlan",Theodore Sturgeon,"=""0441363954""","=""9780441363957""",5,3.89,Ace,Mass Market Paperback,134,1967,1967,,2020/03/12,,,read,,,,1,0
