,Title,ISBN,Author,Additional_Authors,My_Rating,Average_Rating,Publisher,Number_of_Pages,Year_Published,Original_Publication_Year,Date_Read,Exclusive_Shelf,Series_Info,is_series,book_age,have_read,length_category,Genre
158,Of Mice and Men,"=""0142000671""",John Steinbeck,,5.0,3.89,Penguin Books,107.0,2002,1937.0,,read,Standalone,False,88.0,True,Short,"contemporary fiction, literary fiction, classics"
159,Lord of the Flies,"=""0140283331""",William Golding,,5.0,3.7,Penguin Books ,182.0,1999,1954.0,,read,Standalone,False,71.0,True,Medium,"fiction, relationships, adventure"
160,1984,"=""""",George Orwell,,5.0,4.19,Houghton Mifflin Harcourt,298.0,2013,1949.0,,read,Standalone,False,76.0,True,Medium,Unknown
161,The Catcher in the Rye,"=""0316769177""",J.D. Salinger,,4.0,3.8,Back Bay Books,277.0,2001,1951.0,,read,Standalone,False,74.0,True,Medium,"fictional works, Runaway teenagers, Fiction"
162,"The Hobbit, or There and Back Again","=""""",J.R.R. Tolkien,"Douglas A. Anderson, Michael Hague, Jemima Catlin",5.0,4.29,Houghton Mifflin,366.0,2002,1937.0,,read," (The Lord of the Rings, #0)",False,88.0,True,Long,Unknown
163,Angels & Demons,"=""1416524797""",Dan    Brown,,,3.95,Pocket Books,736.0,2006,2000.0,,to-read," (Robert Langdon, #1)",False,25.0,False,Long,"heparin, ambigrams, antimatter"
164,Pride and Prejudice,"=""""",Jane Austen,Anna Quindlen,,4.29,Modern Library,279.0,2023,1813.0,,to-read,Standalone,False,212.0,False,Medium,Unknown
165,Animal Farm,"=""0451526341""",George Orwell,"Russell Baker, C.M. Woodhouse",5.0,4.0,Signet Classics,141.0,1996,1945.0,,read,Standalone,False,80.0,True,Short,"British and irish fiction (fictional works by one author), political satire, classic"
166,The Great Gatsby,"=""0743273567""",F. Scott Fitzgerald,,3.0,3.93,Scribner,180.0,1925,1925.0,,read,Standalone,False,100.0,True,Medium,"Married people, fiction, American fiction (fictional works by one author), Fiction, psychological"
167,To Kill a Mockingbird,"=""0060935464""",Harper Lee,,5.0,4.26,Harper Perennial Modern Classics ,323.0,2006,1960.0,,read,Standalone,False,65.0,True,Long,"fiction, fiction classics, contemporary fiction"
